,question_type,multiple_choice_answer,answers,image_id,answer_type,question_id,question,image,split
0,,,,262144,,262144000,Is the ball flying towards the batter?,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x480 at 0x7F40B9995E90>,test
1,,,,262144,,262144001,What sport is this?,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x480 at 0x7F40B99BA390>,test
2,,,,262144,,262144002,Can you see the ball?,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x480 at 0x7F41392C9150>,test
3,,,,262144,,262144003,Is the pitcher wearing a hat?,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x480 at 0x7F41399B83D0>,test
4,,,,262144,,262144004,Will he catch the ball in time?,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x480 at 0x7F41644CBA50>,test
5,,,,262144,,262144005,What credit card company is on the banner in the background?,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x480 at 0x7F40A588D410>,test
6,,,,1,,1000,What is the fence made of?,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x480 at 0x7F41644CB590>,test
7,,,,1,,1001,What color is the truck?,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x480 at 0x7F40BA2F0750>,test
8,,,,1,,1002,What service does the car parked at the curb provide?,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x480 at 0x7F40A55D3250>,test
9,,,,524292,,524292000,What function is served by the item the giraffe is peering into?,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x480 at 0x7F40B99BA990>,test
10,,,,524292,,524292001,Is this in Australia?,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x480 at 0x7F40A507E510>,test
11,,,,524292,,524292002,Are the giraffes playing basketball?,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x480 at 0x7F40A507E250>,test
12,,,,524292,,524292003,Are the trees taller than the giraffes?,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x480 at 0x7F40B99BA6D0>,test
13,,,,524292,,524292004,Is there any fence in front of zebra?,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x480 at 0x7F40A4E3F3D0>,test
14,,,,131079,,131079000,Is it raining?,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x424 at 0x7F40A4E3F550>,test
15,,,,131079,,131079001,Is the landing gear down?,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x424 at 0x7F40A588D350>,test
16,,,,131079,,131079002,Is this airplane taking off or landing?,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x424 at 0x7F41644CB810>,test
17,,,,131083,,131083000,What is she sitting on?,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=426x640 at 0x7F40A588D050>,test
18,,,,131083,,131083001,Is that a smartphone she is holding?,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=426x640 at 0x7F40BA83A510>,test
19,,,,131083,,131083002,What type of garment or accessory is being worn by both people?,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=426x640 at 0x7F40A4DFF3D0>,test
20,,,,131083,,131083003,What is the woman doing?,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=426x640 at 0x7F40BA2D6C50>,test
21,,,,131083,,131083004,What color is her hair?,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=426x640 at 0x7F40A588D3D0>,test
22,,,,131083,,131083005,What is on the woman's head?,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=426x640 at 0x7F40A507E890>,test
23,,,,131083,,131083006,What kind of pants is the woman wearing?,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=426x640 at 0x7F40A507E7D0>,test
24,,,,131083,,131083007,Is there an plate?,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=426x640 at 0x7F40B99BA750>,test
25,,,,131083,,131083008,Do both women carry handbags?,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=426x640 at 0x7F40B99BA8D0>,test
26,,,,131083,,131083009,Is there anyone wearing a hat?,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=426x640 at 0x7F41393060D0>,test
27,,,,131083,,131083010,How many steps?,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=426x640 at 0x7F41644CB490>,test
28,,,,131083,,131083011,How many people are sitting down?,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=426x640 at 0x7F40A4921350>,test
29,,,,131083,,131083012,Is the girl's mouth closed?,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=426x640 at 0x7F409EDC02D0>,test
30,,,,131083,,131083013,Does the woman have sexy legs?,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=426x640 at 0x7F40BA2EAF10>,test
31,,,,131083,,131083014,Where is the woman sitting?,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=426x640 at 0x7F40A4DFFB10>,test
32,,,,524301,,524301000,What color is the cat?,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x427 at 0x7F40BA2D2690>,test
33,,,,524301,,524301001,Is there any light visible on top of the cat?,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x427 at 0x7F40BA2EA790>,test
34,,,,524301,,524301002,Did the cat eat the food on the plate?,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x427 at 0x7F40A507EA50>,test
35,,,,14,,14000,What color is the person's helmet?,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=480x640 at 0x7F40BB05DF50>,test
36,,,,14,,14001,What is a person who rides on a skateboard called?,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=480x640 at 0x7F40A55D3990>,test
37,,,,14,,14002,Is this in the US?,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=480x640 at 0x7F40BB05D310>,test
38,,,,377092,,377092000,How many contrails are there?,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x480 at 0x7F40BB05D3D0>,test
39,,,,377092,,377092001,What are the lines in the sky?,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x480 at 0x7F40B99BAAD0>,test
40,,,,377092,,377092002,Is the plane going to crash?,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=640x480 at 0x7F40BBA2BF90>,test
41,,,,16,,16000,What plate is the player standing at?,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=480x640 at 0x7F40B99BAA10>,test
42,,,,16,,16001,How old is the boy  batting?,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=480x640 at 0x7F40A425EC10>,test
43,,,,16,,16002,What is on the boy's head?,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=480x640 at 0x7F40A425E950>,test
44,,,,16,,16003,What color is the man's helmet:?,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=480x640 at 0x7F409EDC0810>,test
45,,,,16,,16004,What is the players number?,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=480x640 at 0x7F40A4E3F9D0>,test
46,,,,16,,16005,Did he hit the ball?,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=480x640 at 0x7F40A4E3F290>,test
47,,,,16,,16006,Is there a number 22?,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=480x640 at 0x7F409ED993D0>,test
48,,,,16,,16007,Is it a hit?,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=480x640 at 0x7F40A507E150>,test
49,,,,131090,,131090000,Is the trash empty or full?,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=480x640 at 0x7F40A507E0D0>,test
50,,,,131090,,131090001,What does the dispenser on the wall give?,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=480x640 at 0x7F40A55D3710>,test
51,,,,131090,,131090002,What colors are the tile on the wall?,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=480x640 at 0x7F40A55D3950>,test
52,,,,131090,,131090003,Has this bathroom been cleaned recently?,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=480x640 at 0x7F40BB05D490>,test
53,,,,131090,,131090004,What color is the soap dispenser on the wall above the sink?,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=480x640 at 0x7F40A43F9A90>,test
54,,,,131090,,131090005,Is there hand soap on the sink?,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=480x640 at 0x7F40A49213D0>,test
55,,,,131090,,131090006,Which one do you pee in?,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=480x640 at 0x7F40A488AED0>,test
